county_name,state,mobility_rate
Trinity, TX,0.1515
Clark, OH,0.1514
Muskogee, OK,0.1514
Hughes, OK,0.1512
Atoka, OK,0.1508
Maury, TN,0.1507
Madison, TN,0.1505
Robertson, TN,0.1505
Wilkes, NC,0.1501
Lamar, TX,0.1501
Charleston, SC,0.15
Gallia, OH,0.1495
Guernsey, OH,0.1495
Bell, TX,0.1495
Johnston, NC,0.149
Chowan, NC,0.1489
Spartanburg, SC,0.1488
Jones, TX,0.1488
Nolan, TX,0.1488
Madison, OH,0.1487
Deaf Smith, TX,0.1483
Polk, NC,0.1478
Pottawatomie, OK,0.1478
Castro, TX,0.1478
Clinton, OH,0.1477
Iredell, NC,0.1476
Marshall, OK,0.1471
Putnam, TN,0.1468
Comanche, OK,0.1466
McCulloch, TX,0.1465
Preble, OH,0.1464
Val Verde, TX,0.146
Craven, NC,0.1458
Morgan, OH,0.145
Washington, TN,0.1449
Scioto, OH,0.1448
Craig, OK,0.1446
Beaufort, NC,0.1445
Ashtabula, OH,0.1441
Fannin, TX,0.1441
Dyer, TN,0.1438
Caddo, OK,0.1435
Ross, OH,0.1433
Pickens, SC,0.1428
Uvalde, TX,0.1428
Surry, NC,0.1426
Clay, NC,0.1425
Lee, NC,0.1424
Weakley, TN,0.1424
Lynn, TX,0.142
Jefferson, OR,0.1415
Richland, SC,0.1414
Ottawa, OK,0.1413
Newberry, SC,0.141
Robertson, TX,0.141
Okmulgee, OK,0.1409
Cochran, TX,0.1408
Transylvania, NC,0.1404
Stokes, NC,0.1402
Coshocton, OH,0.1401
Falls, TX,0.1401
Haywood, NC,0.1396
Smith, TN,0.1395
Loudon, TN,0.1392
Georgetown, SC,0.1391
Swisher, TX,0.139
Marshall, TN,0.1388
Adams, OH,0.1387
Gaston, NC,0.1384
Rowan, NC,0.1384
Jones, NC,0.1383
Wilson, NC,0.1382
Garza, TX,0.1382
Lawrence, OH,0.138
Anderson, SC,0.1371
Titus, TX,0.137
Houston, TX,0.1364
Meigs, OH,0.1355
Shelby, TN,0.1353
Cotton, OK,0.1349
Florence, SC,0.1343
Montgomery, TN,0.1341
Malheur, OR,0.134
Pushmataha, OK,0.1339
Davidson, NC,0.1333
Hardin, TN,0.1332
Jackson, NC,0.1325
Horry, SC,0.1322
Granville, NC,0.1319
Holmes, OH,0.1318
Perry, OH,0.1315
Potter, TX,0.1315
Cherokee, OK,0.1314
Coryell, TX,0.1314
El Paso, TX,0.1314
Hale, TX,0.131
Madison, TX,0.1309
Giles, TN,0.1308
Macon, NC,0.1305
