cty,Name,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall
cty13021,"Bibb County, GA",0.1265
cty13195,"Madison County, GA",0.1262
cty32023,"Nye County, NV",0.1262
cty29185,"St. Clair County, MO",0.1261
cty11001,"District of Columbia, DC",0.1259
cty28101,"Newton County, MS",0.1258
cty35017,"Grant County, NM",0.1258
cty47137,"Pickett County, TN",0.1258
cty21193,"Perry County, KY",0.1256
cty08011,"Bent County, CO",0.1255
cty12083,"Marion County, FL",0.1254
cty13009,"Baldwin County, GA",0.1252
cty13143,"Haralson County, GA",0.1252
cty21043,"Carter County, KY",0.1252
cty21125,"Laurel County, KY",0.1252
cty13035,"Butts County, GA",0.125
cty13175,"Laurens County, GA",0.125
cty21095,"Harlan County, KY",0.125
cty35051,"Sierra County, NM",0.125
cty13089,"DeKalb County, GA",0.1249
cty28049,"Hinds County, MS",0.1245
cty29209,"Stone County, MO",0.1244
cty54105,"Wirt County, WV",0.1244
cty28111,"Perry County, MS",0.1241
cty05067,"Jackson County, AR",0.1238
cty22067,"Morehouse Parish, LA",0.1238
cty29023,"Butler County, MO",0.1237
cty28043,"Grenada County, MS",0.1232
cty12131,"Walton County, FL",0.123
cty13169,"Jones County, GA",0.1229
cty13019,"Berrien County, GA",0.1228
cty21005,"Anderson County, KY",0.1227
cty06025,"Imperial County, CA",0.1226
cty28099,"Neshoba County, MS",0.1226
cty05129,"Searcy County, AR",0.1224
cty13229,"Pierce County, GA",0.1224
cty28061,"Jasper County, MS",0.1221
cty08111,"San Juan County, CO",0.1221
cty12059,"Holmes County, FL",0.122
cty13209,"Montgomery County, GA",0.122
cty12049,"Hardee County, FL",0.1218
cty29211,"Sullivan County, MO",0.1217
cty48385,"Real County, TX",0.1216
cty08055,"Huerfano County, CO",0.1215
cty29133,"Mississippi County, MO",0.1214
cty12129,"Wakulla County, FL",0.1212
cty47035,"Cumberland County, TN",0.1207
cty35033,"Mora County, NM",0.1207
cty16033,"Clark County, ID",0.1204
cty21199,"Pulaski County, KY",0.1203
cty13017,"Ben Hill County, GA",0.1201
cty35041,"Roosevelt County, NM",0.1201
cty37073,"Gates County, NC",0.12
cty28113,"Pike County, MS",0.1198
cty28163,"Yazoo County, MS",0.1198
cty35003,"Catron County, NM",0.1198
cty13221,"Oglethorpe County, GA",0.1197
cty28003,"Alcorn County, MS",0.1196
cty21011,"Bath County, KY",0.1195
cty13123,"Gilmer County, GA",0.1191
cty24039,"Somerset County, MD",0.1189
cty20061,"Geary County, KS",0.1187
cty26095,"Luce County, MI",0.1187
cty29017,"Bollinger County, MO",0.1187
cty29069,"Dunklin County, MO",0.1187
cty05135,"Sharp County, AR",0.1184
cty12111,"St. Lucie County, FL",0.1184
cty28129,"Smith County, MS",0.1184
cty29039,"Cedar County, MO",0.1184
cty29091,"Howell County, MO",0.1184
cty13217,"Newton County, GA",0.1183
cty29153,"Ozark County, MO",0.1181
cty16073,"Owyhee County, ID",0.118
cty21069,"Fleming County, KY",0.118
cty13119,"Franklin County, GA",0.1179
cty29055,"Crawford County, MO",0.1179
cty35037,"Quay County, NM",0.1179
cty13237,"Putnam County, GA",0.1178
cty05041,"Desha County, AR",0.1177
cty29171,"Putnam County, MO",0.1177
cty47015,"Cannon County, TN",0.1177
cty29169,"Pulaski County, MO",0.1176
cty29179,"Reynolds County, MO",0.1175
cty13107,"Emanuel County, GA",0.1174
cty13257,"Stephens County, GA",0.1174
cty13049,"Charlton County, GA",0.1173
cty12045,"Gulf County, FL",0.1172
cty13277,"Tift County, GA",0.1171
cty13299,"Ware County, GA",0.117
cty50009,"Essex County, VT",0.117
cty05099,"Nevada County, AR",0.1169
cty12097,"Osceola County, FL",0.1168
cty28011,"Bolivar County, MS",0.1166
cty48109,"Culberson County, TX",0.1166
cty21031,"Butler County, KY",0.1162
cty28159,"Winston County, MS",0.1161
cty35006,"Cibola County, NM",0.1161
cty13091,"Dodge County, GA",0.116
cty05093,"Mississippi County, AR",0.1159
cty21171,"Monroe County, KY",0.1159
cty12055,"Highlands County, FL",0.1158
cty28095,"Monroe County, MS",0.1157
cty13025,"Brantley County, GA",0.1156
cty22117,"Washington Parish, LA",0.1154
cty21207,"Russell County, KY",0.1153
cty29229,"Wright County, MO",0.1153
cty28015,"Carroll County, MS",0.1149
cty21085,"Grayson County, KY",0.1148
cty28145,"Union County, MS",0.1148
cty26079,"Kalkaska County, MI",0.1147
cty28013,"Calhoun County, MS",0.1147
cty21013,"Bell County, KY",0.1145
cty26039,"Crawford County, MI",0.1145
cty12123,"Taylor County, FL",0.1142
cty13079,"Crawford County, GA",0.1142
cty21023,"Bracken County, KY",0.1141
cty48271,"Kinney County, TX",0.1141
cty72109,"Patillas Municipio, PR",0.1139
cty05061,"Howard County, AR",0.1138
cty13233,"Polk County, GA",0.1138
cty13281,"Towns County, GA",0.1137
cty13317,"Wilkes County, GA",0.1136
cty29105,"Laclede County, MO",0.1136
cty47041,"DeKalb County, TN",0.1135
cty05075,"Lawrence County, AR",0.1134
cty29065,"Dent County, MO",0.1134
cty35031,"McKinley County, NM",0.1134
cty05097,"Montgomery County, AR",0.1133
cty20209,"Wyandotte County, KS",0.1133
cty16025,"Camas County, ID",0.113
cty05147,"Woodruff County, AR",0.1129
cty21087,"Green County, KY",0.1129
cty21119,"Knott County, KY",0.1129
cty26085,"Lake County, MI",0.1129
cty36005,"Bronx County, NY",0.1129
cty13261,"Sumter County, GA",0.1126
cty05035,"Crittenden County, AR",0.1124
cty46085,"Lyman County, SD",0.1123
cty32009,"Esmeralda County, NV",0.1123
cty08023,"Costilla County, CO",0.1122
cty05079,"Lincoln County, AR",0.112
cty47033,"Crockett County, TN",0.112
cty05069,"Jefferson County, AR",0.1117
cty05101,"Newton County, AR",0.1117
cty13081,"Crisp County, GA",0.1117
cty51590,"Danville city, VA",0.1117
cty29085,"Hickory County, MO",0.1115
cty28065,"Jefferson Davis County, MS",0.1114
cty13187,"Lumpkin County, GA",0.1113
cty13133,"Greene County, GA",0.1111
cty13235,"Pulaski County, GA",0.111
cty02070,"Dillingham Census Area, AK",0.111
cty13249,"Schley County, GA",0.111
cty13053,"Chattahoochee County, GA",0.1108
cty13189,"McDuffie County, GA",0.1108
cty13215,"Muscogee County, GA",0.1108
cty28161,"Yalobusha County, MS",0.1108
cty48229,"Hudspeth County, TX",0.1108
cty05095,"Monroe County, AR",0.1107
cty05049,"Fulton County, AR",0.1106
cty35053,"Socorro County, NM",0.1106
cty28055,"Issaquena County, MS",0.1106
cty13147,"Hart County, GA",0.1105
cty13293,"Upson County, GA",0.1105
cty21053,"Clinton County, KY",0.1105
cty05057,"Hempstead County, AR",0.1102
cty51710,"Norfolk city, VA",0.1101
cty21079,"Garrard County, KY",0.11
cty12077,"Liberty County, FL",0.1098
cty21235,"Whitley County, KY",0.1098
cty12121,"Suwannee County, FL",0.1097
cty37177,"Tyrrell County, NC",0.1096
cty29141,"Morgan County, MO",0.1093
cty13099,"Early County, GA",0.1092
cty29221,"Washington County, MO",0.1092
cty13295,"Walker County, GA",0.109
cty29123,"Madison County, MO",0.1089
cty22071,"Orleans Parish, LA",0.1087
cty05089,"Marion County, AR",0.1084
cty13007,"Baker County, GA",0.1084
cty12063,"Jackson County, FL",0.1083
cty47019,"Carter County, TN",0.1083
cty12041,"Gilchrist County, FL",0.1081
cty12133,"Washington County, FL",0.1081
cty28139,"Tippah County, MS",0.1081
cty21075,"Fulton County, KY",0.108
cty13251,"Screven County, GA",0.1075
cty22091,"St. Helena Parish, LA",0.1073
cty29149,"Oregon County, MO",0.1071
cty12007,"Bradford County, FL",0.107
cty72063,"Gurabo Municipio, PR",0.1068
cty72139,"Trujillo Alto Municipio, PR",0.1067
cty13005,"Bacon County, GA",0.1063
cty29059,"Dallas County, MO",0.1063
cty02198,"Prince of Wales-Hyder Census Area, AK",0.1061
cty13303,"Washington County, GA",0.1059
cty13105,"Elbert County, GA",0.1057
cty21065,"Estill County, KY",0.1057
cty13065,"Clinch County, GA",0.1056
cty13255,"Spalding County, GA",0.1055
cty29215,"Texas County, MO",0.1051
cty12047,"Hamilton County, FL",0.1049
cty13033,"Burke County, GA",0.1049
cty17153,"Pulaski County, IL",0.1049
cty21197,"Powell County, KY",0.1047
cty28125,"Sharkey County, MS",0.1047
cty35047,"San Miguel County, NM",0.1046
cty28057,"Itawamba County, MS",0.1043
cty13125,"Glascock County, GA",0.1043
cty12027,"DeSoto County, FL",0.104
cty72041,"Cidra Municipio, PR",0.1039
cty13161,"Jeff Davis County, GA",0.1038
cty05149,"Yell County, AR",0.1037
cty05065,"Izard County, AR",0.1036
cty13043,"Candler County, GA",0.1034
cty29225,"Webster County, MO",0.1034
cty21137,"Lincoln County, KY",0.1031
cty13155,"Irwin County, GA",0.103
cty13307,"Webster County, GA",0.103
cty12065,"Jefferson County, FL",0.1028
cty12023,"Columbia County, FL",0.1027
cty29119,"McDonald County, MO",0.1027
cty13283,"Treutlen County, GA",0.1026
cty72013,"Arecibo Municipio, PR",0.1026
cty13087,"Decatur County, GA",0.1025
cty28115,"Pontotoc County, MS",0.1025
cty13201,"Miller County, GA",0.1023
cty21131,"Leslie County, KY",0.1023
cty51595,"Emporia city, VA",0.1023
cty13071,"Colquitt County, GA",0.1021
cty21231,"Wayne County, KY",0.1021
cty48443,"Terrell County, TX",0.102
cty28029,"Copiah County, MS",0.1018
cty35029,"Luna County, NM",0.1016
cty13271,"Telfair County, GA",0.1014
cty51760,"Richmond city, VA",0.1014
cty13225,"Peach County, GA",0.1012
cty28157,"Wilkinson County, MS",0.101
cty35057,"Torrance County, NM",0.101
cty21061,"Edmonson County, KY",0.1009
cty21099,"Hart County, KY",0.1007
cty13101,"Echols County, GA",0.1007
cty72111,"Penuelas Municipio, PR",0.1006
cty12107,"Putnam County, FL",0.1004
cty72047,"Corozal Municipio, PR",0.1003
cty12093,"Okeechobee County, FL",0.1002
cty05127,"Scott County, AR",0.1001
cty21121,"Knox County, KY",0.1
cty21135,"Lewis County, KY",0.1
cty21203,"Rockcastle County, KY",0.1
cty29093,"Iron County, MO",0.1
cty51740,"Portsmouth city, VA",0.1
cty28107,"Panola County, MS",0.0999
cty21175,"Morgan County, KY",0.0995
cty13245,"Richmond County, GA",0.0994
cty13267,"Tattnall County, GA",0.0993
cty13131,"Grady County, GA",0.0992
cty13269,"Taylor County, GA",0.0984
cty28069,"Kemper County, MS",0.0984
cty13321,"Worth County, GA",0.0981
cty47025,"Claiborne County, TN",0.0975
cty13093,"Dooly County, GA",0.0974
cty12051,"Hendry County, FL",0.0973
cty28117,"Prentiss County, MS",0.0971
cty21057,"Cumberland County, KY",0.097
cty13111,"Fannin County, GA",0.0969
cty13179,"Liberty County, GA",0.0969
cty72135,"Toa Alta Municipio, PR",0.0969
cty21003,"Allen County, KY",0.0968
cty08053,"Hinsdale County, CO",0.0965
cty35023,"Hidalgo County, NM",0.0964
cty13063,"Clayton County, GA",0.0963
cty51049,"Cumberland County, VA",0.0961
cty35019,"Guadalupe County, NM",0.096
cty29223,"Wayne County, MO",0.0958
cty13163,"Jefferson County, GA",0.0957
cty02016,"Aleutians West Census Area, AK",0.0957
cty13159,"Jasper County, GA",0.0954
cty13171,"Lamar County, GA",0.0954
cty13055,"Chattooga County, GA",0.0952
cty12075,"Levy County, FL",0.095
cty72011,"Anasco Municipio, PR",0.095
cty21001,"Adair County, KY",0.0948
cty29181,"Ripley County, MO",0.0947
cty72051,"Dorado Municipio, PR",0.0946
cty13319,"Wilkinson County, GA",0.0945
cty28027,"Coahoma County, MS",0.0943
cty47013,"Campbell County, TN",0.0937
cty05077,"Lee County, AR",0.0936
cty72025,"Caguas Municipio, PR",0.0934
cty29510,"St. Louis city, MO",0.0933
cty72117,"Rincon Municipio, PR",0.0932
cty05111,"Poinsett County, AR",0.0931
cty13287,"Turner County, GA",0.0927
cty13197,"Marion County, GA",0.0926
cty21025,"Breathitt County, KY",0.0926
cty12013,"Calhoun County, FL",0.0923
cty05123,"St. Francis County, AR",0.0921
cty72101,"Morovis Municipio, PR",0.0921
cty72057,"Guayama Municipio, PR",0.0919
cty72001,"Adjuntas Municipio, PR",0.0916
cty47027,"Clay County, TN",0.0914
cty21051,"Clay County, KY",0.0911
cty46041,"Dewey County, SD",0.0907
cty12125,"Union County, FL",0.0906
cty28083,"Leflore County, MS",0.0899
cty02185,"North Slope Borough, AK",0.0898
cty17003,"Alexander County, IL",0.0896
cty29067,"Douglas County, MO",0.0894
cty02164,"Lake and Peninsula Borough, AK",0.0894
cty72035,"Cayey Municipio, PR",0.0889
cty13167,"Johnson County, GA",0.0881
cty28103,"Noxubee County, MS",0.0879
cty72119,"Rio Grande Municipio, PR",0.0876
cty21045,"Casey County, KY",0.0872
cty28025,"Clay County, MS",0.0871
cty28017,"Chickasaw County, MS",0.0867
cty13027,"Brooks County, GA",0.0864
cty13149,"Heard County, GA",0.086
cty24510,"Baltimore city, MD",0.0859
cty13253,"Seminole County, GA",0.0855
cty13273,"Terrell County, GA",0.0854
cty13165,"Jenkins County, GA",0.0851
cty29155,"Pemiscot County, MO",0.0845
cty13213,"Murray County, GA",0.0844
cty13095,"Dougherty County, GA",0.0843
cty13193,"Macon County, GA",0.0842
cty28151,"Washington County, MS",0.0838
cty13205,"Mitchell County, GA",0.0833
cty13199,"Meriwether County, GA",0.0832
cty13289,"Twiggs County, GA",0.0832
cty46017,"Buffalo County, SD",0.0827
cty29203,"Shannon County, MO",0.0822
cty29035,"Carter County, MO",0.082
cty13075,"Cook County, GA",0.0818
cty22065,"Madison Parish, LA",0.0803
cty12079,"Madison County, FL",0.0801
cty21189,"Owsley County, KY",0.0787
cty28051,"Holmes County, MS",0.0777
cty21109,"Jackson County, KY",0.0776
cty02180,"Nome Census Area, AK",0.0771
cty13301,"Warren County, GA",0.0767
cty13003,"Atkinson County, GA",0.0765
cty28093,"Marshall County, MS",0.0764
cty02290,"Yukon-Koyukuk Census Area, AK",0.076
cty13259,"Stewart County, GA",0.076
cty21165,"Menifee County, KY",0.0758
cty13173,"Lanier County, GA",0.0754
cty47029,"Cocke County, TN",0.0754
cty32021,"Mineral County, NV",0.0745
cty21169,"Metcalfe County, KY",0.0744
cty72037,"Ceiba Municipio, PR",0.0742
cty72023,"Cabo Rojo Municipio, PR",0.0736
cty13263,"Talbot County, GA",0.073
cty08079,"Mineral County, CO",0.0725
cty72053,"Fajardo Municipio, PR",0.0719
cty37075,"Graham County, NC",0.0715
cty22035,"East Carroll Parish, LA",0.0709
cty72021,"Bayamon Municipio, PR",0.0708
cty12037,"Franklin County, FL",0.0707
cty21237,"Wolfe County, KY",0.0702
cty28133,"Sunflower County, MS",0.0698
cty02013,"Aleutians East Borough, AK",0.0695
cty13183,"Long County, GA",0.0687
cty13309,"Wheeler County, GA",0.0687
cty13061,"Clay County, GA",0.068
cty05107,"Phillips County, AR",0.0672
cty38085,"Sioux County, ND",0.0663
cty28009,"Benton County, MS",0.0655
cty37093,"Hoke County, NC",0.0654
cty12029,"Dixie County, FL",0.0651
cty72055,"Guanica Municipio, PR",0.0642
cty28053,"Humphreys County, MS",0.062
cty13191,"McIntosh County, GA",0.0609
cty72003,"Aguada Municipio, PR",0.0601
cty72031,"Carolina Municipio, PR",0.06
cty12039,"Gadsden County, FL",0.0598
cty28063,"Jefferson County, MS",0.0597
cty28119,"Quitman County, MS",0.0594
cty13141,"Hancock County, GA",0.0588
cty72073,"Jayuya Municipio, PR",0.0579
cty72153,"Yauco Municipio, PR",0.0572
cty21147,"McCreary County, KY",0.0567
cty51730,"Petersburg city, VA",0.0563
cty72009,"Aibonito Municipio, PR",0.0562
cty72027,"Camuy Municipio, PR",0.0554
cty28021,"Claiborne County, MS",0.0551
cty13037,"Calhoun County, GA",0.0521
cty46121,"Todd County, SD",0.0519
cty72079,"Lajas Municipio, PR",0.0508
cty13243,"Randolph County, GA",0.0507
cty28135,"Tallahatchie County, MS",0.0502
cty72113,"Ponce Municipio, PR",0.0492
cty72039,"Ciales Municipio, PR",0.0485
cty72071,"Isabela Municipio, PR",0.0477
cty72131,"San Sebastian Municipio, PR",0.0461
cty72143,"Vega Alta Municipio, PR",0.0446
cty72133,"Santa Isabel Municipio, PR",0.0445
cty28143,"Tunica County, MS",0.0421
cty13265,"Taliaferro County, GA",0.0419
cty72137,"Toa Baja Municipio, PR",0.0414
cty72019,"Barranquitas Municipio, PR",0.0405
cty72141,"Utuado Municipio, PR",0.0393
cty72069,"Humacao Municipio, PR",0.0377
cty72099,"Moca Municipio, PR",0.0369
cty02060,"Bristol Bay Borough, AK",0.0351
cty72107,"Orocovis Municipio, PR",0.035
cty72129,"San Lorenzo Municipio, PR",0.033
cty72145,"Vega Baja Municipio, PR",0.0321
cty02282,"Yakutat City and Borough, AK",0.0316
cty55078,"Menominee County, WI",0.0311
cty72089,"Luquillo Municipio, PR",0.0292
cty72149,"Villalba Municipio, PR",0.0271
cty72043,"Coamo Municipio, PR",0.027
cty72091,"Manati Municipio, PR",0.0264
cty72121,"Sabana Grande Municipio, PR",0.0249
cty02158,"Kusilvak Census Area, AK",0.0223
cty72065,"Hatillo Municipio, PR",0.0217
cty46102,"Oglala Lakota County, SD",0.0215
cty13239,"Quitman County, GA",0.0207
cty72075,"Juana Diaz Municipio, PR",0.0197
cty72007,"Aguas Buenas Municipio, PR",0.0171
cty72151,"Yabucoa Municipio, PR",0.0159
cty72045,"Comerio Municipio, PR",0.0153
cty72085,"Las Piedras Municipio, PR",0.0132
cty72077,"Juncos Municipio, PR",0.0106
cty72105,"Naranjito Municipio, PR",0.0065
cty72095,"Maunabo Municipio, PR",0.006
cty72103,"Naguabo Municipio, PR",0.002
cty72123,"Salinas Municipio, PR",0.0015
cty72087,"Loiza Municipio, PR",0
cty72015,"Arroyo Municipio, PR",0
cty72029,"Canovanas Municipio, PR",0
cty72115,"Quebradillas Municipio, PR",0
cty72059,"Guayanilla Municipio, PR",0
cty48269,"King County, TX",
cty72054,"Florida Municipio, PR",
cty72147,"Vieques Municipio, PR",
cty72083,"Las Marias Municipio, PR",
cty72017,"Barceloneta Municipio, PR",
cty15005,"Kalawao County, HI",
cty30069,"Petroleum County, MT",
cty48301,"Loving County, TX",
cty31005,"Arthur County, NE",
cty72067,"Hormigueros Municipio, PR",
cty72049,"Culebra Municipio, PR",
cty72093,"Maricao Municipio, PR",
